ID,UnitID,OrgID,SiteID,SampleType,FeatureID,ShapeType,SherdNumber,Weight,SherdSize,VesselPartition,VesselFunctional,VesselBaseType,HandleNumber,TypeLip,TypeRim,TypeNeck,TypeNeckShoulder,TypeBodyUpper,TypeBodyTransition,TypeBodyLower,TypeBaseExterior,TypeBaseInterior,ThicknessLip,ThicknessRim,ThicknessNeck,ThicknessNeckShoulder,ThicknessBodyUpper,ThicknessBodyTransition,ThicknessLowerBody,ThicknessBaseExterior,R1,H1,H3,H4,H6,R2,R3,R4,R5,HandleForm,HandleThickness,Decorated,DecoratedTechA,DecoratedTechEleA,DecoratedTechPosA,DecoratedTechEncA,DecoratedTechB,DecoratedTechEleB,DecoratedTechPosB,DecoratedTechEncB,DecoratedTechC,DecoratedTechEleC,DecoratedTechPosC,DecoratedTechEncC,DecoratedMotif,DecoratedMotifPos,DecoratedMotifGroup,DecoratedMotifsEncr,DecoratedPatternGroup,DecoratedPatternGroupPos,DecoratedPatternGroupEnc,Firing,Firing_general,Inclusions,InclusionsSorting,InclusionsSize,InclusionsVisible,SurfaceExterior,ColorExterior,SurfaceInterior,ColorInterior,SpecialistTextile,SpecialistTextileType,Forming,FiringSecondary
3692,CZE_SF_469,499,16,selected finds,"CZE: HAII, 94D, 497",rim,1,5,2x2cm < x ≤ 3x3 cm,,,,,LP003,RM008,NA,NA,NA,NA,NA,NA,NA,5,6,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G002,SZ002,0,EST002,EC008,IST002,IC008,0,NA,,
3717,CZE_SF_494,1N,16,selected finds,CZE: 1N,rim,1,1,1x1cm < x ≤ 2x2 cm,,,,,LP003,RM001,NA,NA,NA,NA,NA,NA,NA,5,5,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G003,SZ001,0,EST002,EC008,IST002,IC008,0,NA,,
3720,CZE_SF_497,1BP,16,selected finds,CZE: badania powierzchniowe,rim,1,10,2x2cm < x ≤ 3x3 cm,,,,,LP041,RM001,NA,NA,NA,NA,NA,NA,NA,10,11,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G002,SZ002,0,EST001,EC015,IST001,IC015,0,NA,,
3861,CZE_SF_638,67,16,selected finds,"CZE: HAIV, Ar 45C, 53",body,1,5,2x2cm < x ≤ 3x3 cm,,,,,NA,NA,NA,NS001,UB003,BT004,LB002,NA,NA,,,,,5,6,6,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G002,SZ002,0,EST002,EC008,IST002,IC008,0,NA,,
3863,CZE_SF_640,75,16,selected finds,"CZE: HAIV, Ar 4D, 72",rim,1,8,2x2cm < x ≤ 3x3 cm,,,,,LP003,RM003,NA,NA,UB002,NA,NA,NA,NA,4,5,,,6,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G002,SZ003,0,EST001,EC015,IST001,IC015,0,NA,,
3889,CZE_SF_666,89,16,selected finds,"CZE: HAIII, Ar 54A, 85",rim,1,2,2x2cm < x ≤ 3x3 cm,,,,,LP003,RM002,NA,NA,NA,NA,NA,NA,NA,5,5,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004; I010,G002,SZ002,0,EST002,EC007,IST002,IC007,0,NA,,
3925,CZE_SF_702,1,16,matching sherds,"CZE: HAII, Ar 71D-81B",base,2,15,4x4cm < x ≤ 5x5 cm,,,,,NA,NA,NA,NA,NA,NA,NA,BE002,BI001,,,,,,,6,10,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004; I010,G002,SZ002,0,EST001,EC015,IST001,IC015,0,NA,,
3960,CZE_SF_737,28,16,selected finds,"CZE: HAIII, 55AB",base,1,3,2x2cm < x ≤ 3x3 cm,,,,,NA,NA,NA,NA,NA,NA,NA,BE007,BI004,,,,,,,4,4,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I002; I004,G002,SZ002,0,EST003,EC016,IST003,IC007,0,NA,,
3991,CZE_SF_768,463,16,selected finds,CZE: hałda-pas zachodni,rim,1,7,2x2cm < x ≤ 3x3 cm,,,,,LP003,RM008,NA,NA,NA,NA,NA,NA,NA,6,7,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G002,SZ002,0,EST002,EC007,IST002,IC007,0,NA,,
4005,CZE_SF_782,489,16,selected finds,"CZE: HAIV, Ar 5CD",base,1,17,2x2cm < x ≤ 3x3 cm,,,,,NA,NA,NA,NA,NA,NA,NA,BE002,BI002,,,,,,,9,12,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G002,SZ002,0,EST002,EC008,IST002,IC015,0,NA,,
4009,CZE_SF_786,489,16,selected finds,"CZE: HAIV, Ar 5CD",rim,1,1,1x1cm < x ≤ 2x2 cm,,,,,LP041,RM001,NA,NA,NA,NA,NA,NA,NA,6,6,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G002,SZ002,0,EST002,EC008,IST002,IC008,0,NA,,
4010,CZE_SF_787,475,16,selected finds,"CZE: HAII, Ar 74AB",rim,1,3,2x2cm < x ≤ 3x3 cm,,,,,LP003,RM002,NA,NA,NA,NA,NA,NA,NA,7,7,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G002,SZ002,0,EST002,EC007,IST002,IC007,0,NA,,
4013,CZE_SF_790,468,16,matching sherds,"CZE: HAXIV, Ar 44A, 491",neck/body/base,4,96,> 10x10 cm,,7,,,LP003,RM001,NA,NA,NA,NA,LB001,BE002,BI002,6,6,,,,,6,11,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G001,SZ002,0,EST035,EC002,IST016,IC002,0,NA,,
4019,CZE_SF_796,527,16,selected finds,"CZE: HAII, Ar 87D",rim,1,5,2x2cm < x ≤ 3x3 cm,,,,,LP006,RM008,NA,NA,UB006,BT002,LB001,NA,NA,8,6,,,6,8,8,,160,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G003,SZ002,0,EST003,EC007,IST003,IC007,0,NA,,
4020,CZE_SF_797,527,16,selected finds,"CZE: HAII, Ar 87D",base,1,17,3x3cm < x ≤ 4x4 cm,,,,,NA,NA,NA,NA,NA,NA,NA,BE001,BI002,,,,,,,8,10,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G003,SZ001,0,EST002,EC007,IST002,IC007,0,NA,,
4026,CZE_SF_803,528,16,selected finds,"CZE: HAIV, Ar 8AB",rim,1,10,2x2cm < x ≤ 3x3 cm,,,,,LP048,RM001,NA,NA,NA,NA,NA,NA,NA,9,7,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G002,SZ002,0,EST001,EC015,IST001,IC015,0,NA,,
4028,CZE_SF_805,528,16,selected finds,"CZE: HAIV, Ar 8AB",body,1,19,4x4cm < x ≤ 5x5 cm,,,,,NA,NA,NA,NS001,UB001,NA,NA,NA,NA,,,5,6,7,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I002; I004,G002,SZ002,0,EST002,EC008,IST002,IC008,0,NA,,SF002
4037,CZE_SF_814,517,16,selected finds,"CZE: HAII, Ar 86A, 451",base,1,25,4x4cm < x ≤ 5x5 cm,,,,,NA,NA,NA,NA,NA,NA,NA,BE002,BI002,,,,,,,10,18,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G002,SZ002,0,EST002,EC015,IST002,IC015,0,NA,,
4060,CZE_SF_837,99,16,matching sherds,"CZE: HAIII, Ar 9B",rim,4,35,7x7cm < x ≤ 8x8 cm,,,,,LP003,RM002,NA,NA,NA,NA,NA,NA,NA,5,6,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G002,SZ002,0,EST002,EC002,IST002,IC002,0,NA,,SF002
4073,CZE_SF_850,98,16,selected finds,"CZE: HAI, Ar 100CD",rim,1,2,2x2cm < x ≤ 3x3 cm,,,,,LP003,RM001,NA,NA,NA,NA,NA,NA,NA,7,7,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G002,SZ002,0,EST001,EC007,IST002,IC007,0,NA,,
